"Id","StartDate","EnterpriseNumber"
"9.000.127.578",23-02-1953,"0404.496.334"
"9.000.127.677",01-01-1968,"0404.496.532"
"9.000.127.776",01-01-1968,"0404.496.631"
"9.000.127.875",03-08-1929,"0404.496.730"
"9.000.127.974",13-04-1947,"0404.497.225"
"9.000.128.073",01-01-1968,"0404.497.720"
"9.000.128.172",01-01-1968,"0404.497.819"
"9.000.128.370",01-01-1968,"0404.498.314"
"9.000.128.469",03-12-1960,"0404.498.512"
"9.000.128.568",01-01-1968,"0404.498.710"
"9.000.128.667",20-05-1969,"0404.498.809"
"9.000.128.766",01-01-1968,"0404.499.007"
"9.000.128.865",01-01-1968,"0404.499.106"
"9.000.128.964",01-01-1968,"0404.499.205"
"9.000.129.063",01-01-1969,"0404.499.403"
"9.000.129.261",01-01-1952,"0404.499.601"
"9.000.129.360",01-01-1968,"0404.499.797"
"9.000.129.459",01-01-1968,"0404.499.995"
"9.000.129.657",01-01-1968,"0404.504.153"
"9.000.129.756",01-01-1968,"0404.504.846"
"9.000.129.855",01-01-1968,"0404.504.945"
"9.000.129.954",01-01-1968,"0404.505.242"
"9.000.130.053",01-01-1968,"0404.505.341"
"9.000.130.152",01-01-1968,"0404.505.539"
"9.000.130.251",30-09-1960,"0404.505.638"
"9.000.130.350",02-06-1951,"0404.506.331"
"9.000.130.449",18-05-1951,"0404.506.430"
"9.000.130.548",01-01-1968,"0404.506.628"
"9.000.130.647",01-01-1968,"0404.506.826"
"9.000.130.746",31-05-1968,"0404.507.321"
"9.000.130.845",01-01-1968,"0404.509.103"
"9.000.131.340",01-01-1968,"0404.523.652"
"9.000.131.538",01-01-1968,"0404.530.184"
"9.000.131.637",01-01-1968,"0404.533.154"
"9.000.131.835",01-01-1968,"0404.536.421"
"9.000.131.934",01-01-1968,"0404.537.708"
"9.000.132.033",01-01-1968,"0404.537.906"
"9.000.132.132",01-01-1968,"0404.538.795"
"9.000.132.231",01-01-1968,"0404.539.389"
"9.000.132.429",01-01-1968,"0404.542.854"
"9.000.132.528",01-01-1968,"0404.544.933"
"9.000.132.627",01-01-1968,"0404.546.220"
"9.000.132.726",01-01-1968,"0404.546.715"
"9.000.132.825",01-01-1968,"0404.547.309"
"9.000.133.122",05-11-1913,"0404.557.405"
"9.000.133.419",01-01-1968,"0404.582.248"
"9.000.133.518",01-01-1968,"0404.583.832"
"9.000.133.617",01-01-1968,"0404.584.426"
"9.000.133.914",01-01-1968,"0404.601.945"
"9.000.134.013",27-02-1922,"0404.603.331"
